epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6287.94,0.83109,0.57968,1.04736,0.91858,0.8827,0.92572,0.73852,0.7532,0.46587,1.00621,0.007228,0.007228,0.007228
44,6433.48,0.82683,0.57766,1.04515,0.91985,0.88254,0.9261,0.73925,0.75227,0.46516,1.00534,0.007162,0.007162,0.007162
45,6579.02,0.82923,0.57884,1.04817,0.92207,0.88206,0.92661,0.7399,0.75139,0.46446,1.00474,0.007096,0.007096,0.007096
46,6724.8,0.82445,0.57383,1.04198,0.9198,0.88451,0.92685,0.74034,0.75051,0.46394,1.00397,0.00703,0.00703,0.00703
47,6870.49,0.81882,0.56835,1.04196,0.92179,0.88322,0.92694,0.74053,0.75257,0.4664,1.00513,0.006964,0.006964,0.006964
48,7016.11,0.81882,0.56458,1.03871,0.92215,0.88361,0.9275,0.74133,0.75188,0.46578,1.00453,0.006898,0.006898,0.006898
49,7161.74,0.81817,0.56337,1.04037,0.92344,0.88277,0.92742,0.73986,0.75782,0.47351,1.00624,0.006832,0.006832,0.006832
50,7307.54,0.81635,0.56069,1.03763,0.92335,0.88403,0.92764,0.73993,0.75712,0.47281,1.00543,0.006766,0.006766,0.006766
51,7453.11,0.81321,0.55718,1.0376,0.92368,0.8835,0.92782,0.74054,0.75653,0.47183,1.00479,0.0067,0.0067,0.0067
52,7598.71,0.81119,0.55503,1.03625,0.92479,0.88315,0.92809,0.74113,0.75605,0.47078,1.00428,0.006634,0.006634,0.006634
53,7744.47,0.80878,0.55339,1.03329,0.92449,0.88293,0.92836,0.74155,0.75531,0.46998,1.00328,0.006568,0.006568,0.006568
54,7890.35,0.8117,0.55221,1.03293,0.92403,0.88153,0.92823,0.73918,0.76265,0.47686,1.0046,0.006502,0.006502,0.006502
55,8036.07,0.80822,0.55011,1.03353,0.92395,0.88256,0.92865,0.73966,0.76187,0.47554,1.00382,0.006436,0.006436,0.006436
56,8181.66,0.805,0.54677,1.03008,0.92216,0.8854,0.9291,0.7404,0.76097,0.47453,1.00268,0.00637,0.00637,0.00637
57,8327.48,0.80568,0.54702,1.03162,0.92173,0.88538,0.92942,0.74103,0.76118,0.47489,1.00197,0.006304,0.006304,0.006304
58,8473.02,0.80281,0.54276,1.03127,0.91927,0.88763,0.9297,0.7415,0.76045,0.47376,1.00126,0.006238,0.006238,0.006238
59,8618.53,0.79973,0.53997,1.02773,0.91842,0.88939,0.93026,0.74199,0.75985,0.47274,1.00049,0.006172,0.006172,0.006172
60,8764.05,0.79975,0.53766,1.02757,0.91901,0.89029,0.9305,0.74288,0.75899,0.47161,0.99976,0.006106,0.006106,0.006106
61,8909.88,0.79882,0.53665,1.0286,0.91856,0.89168,0.93073,0.74202,0.76255,0.47262,1.00078,0.00604,0.00604,0.00604
62,9055.5,0.79586,0.53591,1.02628,0.91894,0.89095,0.93085,0.74259,0.76177,0.47169,0.99991,0.005974,0.005974,0.005974
63,9201.3,0.79786,0.53379,1.02497,0.91579,0.88944,0.92853,0.73711,0.76768,0.47833,1.00212,0.005908,0.005908,0.005908
64,9347.01,0.79578,0.53209,1.0278,0.9172,0.88921,0.92892,0.73799,0.76684,0.47715,1.00147,0.005842,0.005842,0.005842
65,9492.6,0.7935,0.53128,1.02455,0.91753,0.89037,0.92926,0.73851,0.766,0.47581,1.00076,0.005776,0.005776,0.005776
66,9638.52,0.79447,0.52725,1.02423,0.91753,0.89043,0.92977,0.73891,0.76571,0.47519,0.99988,0.00571,0.00571,0.00571
67,9784.22,0.78917,0.52487,1.02159,0.91864,0.89008,0.93019,0.7396,0.76449,0.47399,0.99903,0.005644,0.005644,0.005644
68,9930.14,0.78776,0.52417,1.02167,0.91888,0.88951,0.93029,0.73347,0.77964,0.48864,1.00285,0.005578,0.005578,0.005578
69,10075.9,0.78831,0.52315,1.0205,0.90471,0.88894,0.92455,0.72366,0.79212,0.50887,1.00707,0.005512,0.005512,0.005512
70,10221.8,0.7868,0.52101,1.02055,0.90533,0.88883,0.92478,0.72415,0.79116,0.50787,1.00641,0.005446,0.005446,0.005446
