Wall time,Step,Value
1756075312.915988,0,0.5315262675285339
1756075705.912693,1,0.6863064169883728
1756076099.8090715,2,0.7520442605018616
1756076492.7701576,3,0.7839865684509277
1756076888.339972,4,0.8052322864532471
1756077288.7603195,5,0.8162133693695068
1756077689.5589635,6,0.8246891498565674
1756078090.710369,7,0.8307393789291382
1756078491.6333654,8,0.8347474336624146
1756078893.7670674,9,0.8379563689231873
1756079296.0419075,10,0.8412855267524719
1756079697.0623283,11,0.8452044129371643
1756080099.2839687,12,0.8487575054168701
1756080501.0103405,13,0.8523733615875244
1756080903.0331116,14,0.8553322553634644
1756081304.4977021,15,0.85871821641922
1756081706.1287057,16,0.8618777394294739
1756082108.0488043,17,0.8647477030754089
1756082508.675687,18,0.8677260279655457
1756082909.709105,19,0.8702979683876038
1756083312.2572436,20,0.8727709650993347
1756083714.5391886,21,0.8763726353645325
1756084117.193795,22,0.879855215549469
1756084517.334507,23,0.8827947974205017
1756084917.2598867,24,0.8853899240493774
1756085317.9110482,25,0.8885899186134338
1756085719.2220764,26,0.8905723094940186
1756086121.0481179,27,0.8930081129074097
1756086523.0753086,28,0.8956219553947449
1756086925.3942494,29,0.8978281617164612
1756087326.8534956,30,0.9000513553619385
1756087727.9896934,31,0.9013068675994873
1756088129.3709137,32,0.9028509259223938
1756088531.1549454,33,0.9035243391990662
1756088931.9273422,34,0.9060207009315491
1756089332.5933425,35,0.9068211317062378
1756089732.782357,36,0.9078180193901062
1756090133.0512788,37,0.9094234704971313
1756090533.7590108,38,0.9107540249824524
1756090934.2891927,39,0.9114647507667542
1756091334.6324813,40,0.9123223423957825
1756091734.9642096,41,0.9132485389709473
1756092134.7379527,42,0.914104700088501
1756092535.6127226,43,0.9148092269897461
1756092935.5626516,44,0.9160796403884888
1756093335.7835135,45,0.9165472984313965
1756093735.9641333,46,0.9174453616142273
1756094136.6770515,47,0.9180618524551392
1756094538.5959637,48,0.918776273727417
1756094940.809827,49,0.9192548394203186
1756095334.9986875,50,0.920274555683136
1756095728.638832,51,0.9209544658660889
1756096122.838405,52,0.9221256375312805
1756096516.4475403,53,0.9240416884422302
1756096910.835506,54,0.9239619374275208
1756097305.0909054,55,0.9254734516143799
1756097698.9132602,56,0.9260095357894897
1756098092.9629056,57,0.9269970059394836
1756098484.5746322,58,0.9274644255638123
1756098878.1249526,59,0.9283800721168518
1756099271.3079548,60,0.9286619424819946
1756099666.6426015,61,0.9289385676383972
1756100061.022807,62,0.9287103414535522
1756100455.258324,63,0.9291871786117554
1756100849.0871234,64,0.9290010929107666
1756101243.4078705,65,0.9291936755180359
1756101637.5638173,66,0.9300283789634705
1756102032.1484663,67,0.9304398894309998
1756102427.1261225,68,0.9302310347557068
1756102821.2178166,69,0.9300908446311951
