Wall time,Step,Value
1756074931.5405793,40,1.791433334350586
1756074972.112806,180,0.7387282848358154
1756075036.2537858,400,0.47780680656433105
1756075056.687314,470,0.6432884931564331
1756075059.572153,480,0.43180540204048157
1756075100.30107,620,0.30833345651626587
1756075103.235012,630,0.2630770802497864
1756075114.6652834,670,0.24731037020683289
1756075126.2744722,710,0.3785160779953003
1756075143.5806894,770,0.2402726411819458
1756075157.8822875,820,0.27460938692092896
1756075178.1645987,890,0.23522788286209106
1756075207.3054142,990,0.3342658281326294
1756075218.8261487,1030,0.30234694480895996
1756075230.5341744,1070,0.2996152341365814
1756075334.0268788,1210,0.2545281648635864
1756075345.5495915,1250,0.29155221581459045
1756075348.3922062,1260,0.34195300936698914
1756075354.10495,1280,0.3040572702884674
1756075359.9671743,1300,0.2716255486011505
1756075400.9548469,1440,0.24168060719966888
1756075409.5200498,1470,0.26666390895843506
1756075438.439361,1570,0.3784351944923401
1756075447.1576498,1600,0.27873820066452026
1756075452.900401,1620,0.2850835919380188
1756075458.6729934,1640,0.21473029255867004
1756075481.8977485,1720,0.326546847820282
1756075496.3776298,1770,0.28348249197006226
1756075537.176438,1910,0.3562406003475189
1756075572.0399888,2030,0.23465172946453094
1756075577.7925584,2050,0.28260332345962524
1756075601.0245178,2130,0.22776463627815247
1756075708.657514,2290,0.26353976130485535
1756075752.232503,2440,0.23380108177661896
1756075755.1216836,2450,0.2331353724002838
1756075792.7771747,2580,0.24627582728862762
1756075795.7011454,2590,0.23865005373954773
1756075830.4549837,2710,0.25860831141471863
1756075839.1739175,2740,0.3136042356491089
1756075862.313131,2820,0.23163579404354095
1756075871.0475347,2850,0.24676352739334106
1756075900.0705278,2950,0.2572653889656067
1756075938.2659047,3080,0.24198772013187408
1756075961.268731,3160,0.17391936480998993
1756075970.098952,3190,0.22537492215633392
1756075978.8182411,3220,0.2584983706474304
1756076107.8529873,3450,0.2079191952943802
1756076110.7787156,3460,0.24864883720874786
1756076145.583548,3580,0.19316492974758148
1756076162.811922,3640,0.25826746225357056
1756076168.7845156,3660,0.2131432443857193
1756076203.361226,3780,0.4289378225803375
1756076226.565266,3860,0.20927047729492188
1756076238.0900881,3900,0.2041161209344864
1756076243.8027585,3920,0.2024095058441162
1756076272.7391071,4020,0.273067831993103
1756076278.5822835,4040,0.22922885417938232
1756076310.413234,4150,0.21489447355270386
1756076330.6432385,4220,0.2590581774711609
1756076371.1109877,4360,0.18022166192531586
1756076373.9756365,4370,0.26425325870513916
1756076379.7361586,4390,0.17550243437290192
1756076400.0805538,4460,0.2499171942472458
1756076505.4699125,4610,0.3096799850463867
1756076517.1786242,4650,0.29403063654899597
1756076543.2281828,4740,0.2988503873348236
1756076546.108121,4750,0.20080292224884033
1756076560.6102839,4800,0.20079044997692108
1756076563.5184999,4810,0.21032340824604034
1756076580.7637188,4870,0.19398677349090576
1756076647.6780593,5100,0.3386599123477936
1756076653.471472,5120,0.2612127959728241
1756076656.3993182,5130,0.2768956422805786
1756076659.2488554,5140,0.21916218101978302
1756076667.9154441,5170,0.21416260302066803
1756076673.7105205,5190,0.2762399911880493
1756076714.0858912,5330,0.2600335478782654
1756076716.9390779,5340,0.1556442379951477
1756076722.6694272,5360,0.18016386032104492
1756076728.4943337,5380,0.21378138661384583
1756076734.3541284,5400,0.2730027139186859
1756076746.113122,5440,0.16780056059360504
1756076752.0300124,5460,0.26968327164649963
1756076769.7672637,5520,0.2082367092370987
1756076781.5638366,5560,0.21699225902557373
1756076799.3652637,5620,0.24818357825279236
1756076805.1928616,5640,0.21187590062618256
1756076817.2278674,5680,0.23394206166267395
1756076926.9869576,5840,0.22633203864097595
1756076944.7914622,5900,0.1588326394557953
1756076956.5891442,5940,0.2584570050239563
1756076962.4349048,5960,0.14810895919799805
1756077015.8434057,6140,0.1856546700000763
1756077042.4848778,6230,0.1570848524570465
1756077057.4529965,6280,0.20025932788848877
1756077060.410947,6290,0.18494248390197754
1756077084.027793,6370,0.2345593422651291
1756077101.8261445,6430,0.2380967140197754
1756077104.7206178,6440,0.230044886469841
1756077146.345727,6580,0.23659664392471313
1756077172.9272738,6670,0.3076738119125366
1756077196.4198759,6750,0.2504476010799408
1756077199.433824,6760,0.13314372301101685
1756077308.574704,6920,0.1801706850528717
1756077314.4095879,6940,0.22307032346725464
1756077394.675882,7210,0.18341360986232758
1756077406.445368,7250,0.18954209983348846
1756077415.4005208,7280,0.2055947482585907
1756077424.323077,7310,0.18139705061912537
1756077462.597012,7440,0.13843199610710144
1756077521.3931699,7640,0.25221434235572815
1756077554.0573428,7750,0.2637563645839691
1756077556.987941,7760,0.22671577334403992
1756077574.6623657,7820,0.24757368862628937
1756077592.4212902,7880,0.18486946821212769
1756077702.709038,8040,0.17779579758644104
1756077705.6512256,8050,0.11222969740629196
1756077711.5506785,8070,0.2201688438653946
1756077747.0640397,8190,0.3480643033981323
1756077785.7390165,8320,0.1640428602695465
